mpg   car   day
19.0  1     1
19.2  2     1
21.2  3     1
18.5  4     1
21.4  5     1
20.1  1     2
20.8  2     2
21.7  3     2
19.4  4     2
21.7  5     2
20.4  1     3
21.5  2     3
22.3  3     3
20.2  4     3
22.2  5     3
19.0  1     4
20.3  2     4
21.4  3     4
19.5  4     4
21.6  5     4
20.2  1     5
19.9  2     5
22.0  3     5
18.7  4     5
23.0  5     5
18.9  1     6
20.4  2     6
21.4  3     6
19.2  4     6
21.4  5     6
21.2  1     7
20.7  2     7
21.4  3     7
20.4  4     7
22.0  5     7
19.8  1     8
21.2  2     8
20.2  3     8
18.4  4     8
20.8  5     8
20.3  1     9
19.4  2     9
19.9  3     9
20.2  4     9
21.6  5     9
18.6  1     10
18.9  2     10
21.2  3     10
20.5  4     10
20.8  5     10

