nitro  combo  trt
31.2   0      1
23.6   0      1
14.0   0      1
23.1   0      1
23.4   0      1
59.0   0      2
36.7   0      2
38.7   0      2
47.3   0      2
26.1   0      2
11.5   0      3
14.4   0      3
13.0   0      3
10.2   0      3
 9.4   0      3
16.1   0      4
14.2   0      4
16.6   0      4
14.2   0      4
16.6   0      4
13.6   0      5
11.2   0      5
 9.5   0      5
13.7   0      5
12.5   0      5
25.1   0      6
31.9   0      6
26.1   0      6
17.1   0      6
25.2   0      6
19.4   1      1
32.6   1      1
27.0   1      1
32.1   1      1
33.0   1      1
17.7   1      2
24.8   1      2
27.9   1      2
25.2   1      2
24.3   1      2
17.0   1      3
19.4   1      3
 9.1   1      3
11.9   1      3
15.8   1      3
20.7   1      4
21.0   1      4
20.5   1      4
18.8   1      4
18.6   1      4
14.3   1      5
14.4   1      5
11.8   1      5
11.6   1      5
14.2   1      5
17.3   1      6
19.4   1      6
19.1   1      6
16.9   1      6
20.8   1      6
