minutes     drums    weight
 58.0        7.0      5.11
152.0       18.0     16.72
 41.0        5.0      3.20
 93.0       14.0      7.03
101.0       11.0     10.98
 38.0        5.0      4.04
203.0       23.0     22.07
 78.0        9.0      7.03
117.0       16.0     10.62
 44.0        5.0      4.76
121.0       17.0     11.02
112.0       12.0      9.51
 50.0        6.0      3.79
 82.0       12.0      6.45
 48.0        8.0      4.60
127.0       15.0     13.86
140.0       17.0     13.03
155.0       21.0     15.21
 39.0        6.0      3.64
 90.0       11.0      9.57
