final   sex   grade   standing   order   initial mental.age
30      1     10      1          1       28      45
25      1     10      1          2       22      58
22      1     10      1          3       19      46
26      1     10      2          1       22      56
17      1     10      2          2       14      19
14      1     10      2          3       14      29
18      1     10      3          1       18      34
17      1     10      3          2       14      17
12      1     10      3          3        9      19
26      1     11      1          1       22      62
26      1     11      1          2       21      57
24      1     11      1          3       21      65
24      1     11      2          1       25      54
23      1     11      2          2       18      55
15      1     11      2          3       13      24
18      1     11      3          1       17      40
16      1     11      3          2       13      24
13      1     11      3          3       12      23
29      1     12      1          1       25      60
29      1     12      1          2       24      88
22      1     12      1          3       19      64
23      1     12      2          1       21      64
20      1     12      2          2       17      47
19      1     12      2          3       17      75
17      1     12      3          1       16      29
15      1     12      3          2       15      38
14      1     12      3          3       12      28
21      0     10      1          1       16      44
21      0     10      1          2       21      44
19      0     10      1          3       17       6
20      0     10      2          1       18      38
18      0     10      2          2       16      27
14      0     10      2          3       14      18
14      0     10      3          1        9      18
12      0     10      3          2        7      18
 9      0     10      3          3        7       5
26      0     11      1          1       22      60
25      0     11      1          2       22      57
23      0     11      1          3       19      52
22      0     11      2          1       19      54
21      0     11      2          2       19      54
17      0     11      2          3       16      52
19      0     11      3          1       17      40
15      0     11      3          2       12      28
13      0     11      3          3       12      48
33      0     12      1          1       29      94
29      0     12      1          2       29      89
25      0     12      1          3       22      78
23      0     12      2          1       21      50
18      0     12      2          2       19      57
17      0     12      2          3       17      43
15      0     12      3          1       13      36
15      0     12      3          2       14      35
10      0     12      3          3        9      14
