strength   line   maker   diameter   chromium
79.2       1      1       1          2
76.2       1      1       1          1
80.4       1      1       2          3
74.8       1      2       3          2
76.7       1      1       3          1
76.0       1      2       1          2
74.0       1      2       2          1
80.7       1      1       1          3
77.8       1      1       2          2
78.3       1      1       3          2
72.2       1      2       3          1
79.8       1      2       2          3
78.8       1      2       1          3
77.8       1      2       3          3
75.0       1      1       2          1
80.6       1      1       3          3
75.1       1      2       1          1
76.2       1      2       2          2
73.0       2      2       3          1
77.6       2      1       1          1
78.8       2      1       1          2
76.5       2      1       3          1
78.2       2      1       2          2
76.4       2      2       1          2
77.1       2      2       2          2
74.8       2      2       3          2
81.8       2      1       1          3
81.6       2      1       3          3
80.6       2      1       2          3
79.2       2      2       2          3
75.7       2      1       2          1
74.4       2      2       2          1
79.4       2      2       1          3
79.0       2      1       3          2
75.8       2      2       1          1
78.1       2      2       3          3
